"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"ENTREZID"
7.67664659768514e-05	-0.29602704237727	0.342	0.634	1	"1"	"GLRX3"	"10539"
7.93756491619251e-05	-0.286099831214438	0.589	0.84	1	"1"	"ADH5"	"128"
8.30562874889284e-05	-0.619567192959549	0.247	0.512	1	"1"	"EIF2C1"	NA
8.70786107486917e-05	-0.5625989106124	0.452	0.695	1	"1"	"ACTR1A"	"10121"
8.73075886730383e-05	-0.431731948994304	0.178	0.437	1	"1"	"AFG3L2"	"10939"
8.76427844093794e-05	-0.348962060433609	0.836	0.93	1	"1"	"PCMT1"	"5110"
9.51810695759004e-05	-0.393099178804622	0.137	0.394	1	"1"	"CASP3"	"836"
9.65961003883626e-05	-0.549800154274746	0.589	0.793	1	"1"	"CLCC1"	"23155"
0.000101319834448382	-0.52905346620104	0.329	0.582	1	"1"	"LIPA"	"3988"
0.000103715408876756	-0.517198583271796	0.849	0.901	1	"1"	"TTC17"	"55761"
0.000104515656063182	-0.363097024341608	0.932	0.991	1	"1"	"CDS2"	"8760"
0.000104770452214759	-0.335031352725922	0.808	0.915	1	"1"	"CD24"	"100133941"
0.000107305287600695	-0.412254492088435	0.644	0.878	1	"1"	"DCAF7"	"10238"
0.000112923819948191	-0.42966558698822	0.548	0.761	1	"1"	"ZNF770"	"54989"
0.000113142681248996	-0.409416632828741	0.781	0.939	1	"1"	"CHMP2A"	"27243"
0.000113301618707893	-0.430872730110957	0.945	0.986	1	"1"	"EIF3A"	"8661"
0.000113964825876673	-0.281137030119997	0.507	0.728	1	"1"	"ENPP4"	"22875"
0.000116634626627887	-0.396050009420011	0.836	0.944	1	"1"	"ARL2"	"402"
0.000117524644278517	-0.404407530646769	0.137	0.38	1	"1"	"PRPF31"	"26121"
0.0001196307151691	-0.291571476830842	0.534	0.765	1	"1"	"CNIH4"	"29097"
0.000123991745624644	-0.532336549252125	0.151	0.385	1	"1"	"NPC1L1"	"29881"
0.000129312819240004	-0.5909293587736	0.562	0.737	1	"1"	"IPO5"	"3843"
0.000135414068066109	-0.273607999638857	0.644	0.836	1	"1"	"BZW1"	"9689"
0.000140213128964036	-0.432236221663962	0.11	0.329	1	"1"	"LRRC8A"	"56262"
0.000143858529755258	-0.291528852631682	0.521	0.746	1	"1"	"COG1"	"9382"
0.000150453356210131	-0.324061024464403	0.411	0.671	1	"1"	"CGRRF1"	"10668"
0.000154384363230445	-0.338862408490199	0.425	0.643	1	"1"	"OXA1L"	"5018"
0.000155244576880475	-0.30379062279581	0.466	0.737	1	"1"	"GOLT1B"	"51026"
0.000159100953645413	-0.281998966737792	0.507	0.732	1	"1"	"C7orf44"	NA
0.000163312406964136	-0.354520254444887	0.356	0.62	1	"1"	"TMEM18"	"129787"
0.000170191766160653	-0.289579525329119	0.205	0.451	1	"1"	"ZBED6"	"100381270"
0.0001707615889535	-0.426477477722795	0.616	0.873	1	"1"	"RMND5A"	"64795"
0.000174238350232461	-0.369899771058686	0.178	0.408	1	"1"	"TMEM2"	NA
0.000178445775845192	-0.433299830279327	0.315	0.549	1	"1"	"RUFY1"	"80230"
