p_val,avg_logFC,pct.1,pct.2,p_val_adj,symbol
6.78280702892717e-33,1.35778823050753,0.885,0.193,1.57517127632776e-28,XIST
2.50535212720743e-31,1.2717627902278,0.869,0.188,5.81817924501382e-27,TSIX
4.87533019883569e-25,-1.08952298896183,0.131,0.766,1.13219793207561e-20,RPS4Y1
7.9774202533972e-24,-0.661607735364086,0.115,0.771,1.85259630544643e-19,TTTY15
7.23930121888535e-23,0.781819097220656,1,1,1.68118292206174e-18,MALAT1
1.47078349951213e-22,-0.922049160249864,0.107,0.698,3.41560052091702e-18,DDX3Y
4.31417782879612e-22,-0.78172255310793,0.131,0.75,1.00188151718132e-17,USP9Y
1.31238803522779e-20,-0.401483578953013,0.09,0.667,3.04775873420949e-16,EIF1AY
7.24174350704013e-20,-0.862509978790978,0.984,1,1.68175009463993e-15,TTR
1.12625490865038e-19,1.37640296896741,0.877,0.458,2.61550177435878e-15,DLK1
6.169877279629e-19,2.54205337164184,0.648,0.167,1.43283060064824e-14,SPP1
1.10487212701594e-17,-0.394962033958808,0.057,0.557,2.56584454056912e-13,KDM5D
8.35304504343433e-16,-0.403870419567481,1,1,1.93982765043676e-11,RPL3
3.59138322285067e-15,-0.326767679500041,0.098,0.552,8.34026925842611e-11,UTY
8.44596609532425e-15,0.399575038650139,1,1,1.96140670631715e-10,SSR4
5.87263702401355e-13,-0.288048252420429,1,1,1.36380249608667e-08,EEF1A1
8.0642109649741e-12,0.510275199836635,1,1,1.87275171239593e-07,CPE
2.24046522787309e-10,-0.544830598555464,0.975,0.99,5.20303239868967e-06,ATP5B
2.8640750124308e-10,0.821956303382638,0.943,0.797,6.65124140136804e-06,NEAT1
3.75309974283338e-10,-0.411838883263599,0.131,0.5,8.71582353278195e-06,SLC2A2
1.47806451374606e-09,0.356561842875378,0.959,0.859,3.43250922027249e-05,S100A6
2.77057544805679e-09,-0.501912361581056,0.426,0.74,6.43410736302228e-05,STON2
3.89426941463074e-09,-1.03363473991777,0.574,0.828,9.04366186159697e-05,RBP4
3.89491523798273e-09,-0.433547185270208,1,1,9.04516165716729e-05,ACTB
4.17470710817664e-09,-0.408201825030389,0.992,1,9.69492231731861e-05,DPYSL2
5.56618237044266e-09,0.430771258790379,0.992,0.995,0.00012926345318879,ITM2B
7.07543004808287e-09,-0.47648263229771,0.984,1,0.000164312712006628,ENO1
9.43064641734879e-09,-0.281516389760804,1,1,0.000219007901750091,MYL6
1.13150632654713e-08,-0.487586755634752,0.754,0.932,0.000262769714214041,SEMA5A
1.43099383344189e-08,0.555357035843095,0.762,0.448,0.000332319697940209,TMEM176B
2.64380864179639e-08,-0.481866530310937,0.836,0.943,0.000613971680884376,MEAF6
3.43865937698188e-08,0.448316159100755,1,0.979,0.000798559867116503,SYNE2
7.07210716472022e-08,0.617829181435625,0.992,0.984,0.00164235544686298,SCG2
8.26949128607824e-08,-0.774824196823898,0.631,0.839,0.00192042396136595,ENTPD3
8.47066381183033e-08,-0.266506229608938,1,1,0.00196714225702136,INS
1.06624548032012e-07,-0.486632949960536,0.639,0.849,0.00247614187894742,ARG2
1.1376336269051e-07,-0.344229955292784,1,0.995,0.00264192657176171,TPI1
1.20930027396868e-07,0.359106060395692,0.566,0.292,0.00280835802623747,KIAA1456
1.4455713548137e-07,-0.455849916239941,0.352,0.667,0.00335705035728386,TMED6
1.61194600862221e-07,0.289491673904242,0.467,0.198,0.00374342221582336,TMEM176A
1.64058464862161e-07,0.259432396820655,0.877,0.714,0.00380992972949396,IGFBP5
2.50172967515044e-07,0.459243343730195,0.705,0.479,0.00580976682460187,LSAMP
2.66537434858694e-07,0.397174622584761,0.344,0.104,0.00618979884972344,PSAT1
2.71919251338892e-07,-0.381464407354324,0.959,0.995,0.0063147807738431,HSPD1
2.84205075212922e-07,0.271020636736659,1,1,0.00660009446166968,B2M
3.31580521960865e-07,-0.425574707885019,0.639,0.854,0.00770029446149717,TUBA4A
3.47426953740991e-07,-0.435582527910488,0.852,0.953,0.00806829614672703,CTTN
3.82395764479616e-07,0.282406543501418,1,1,0.00888037683851012,CALM2
5.04201752415884e-07,-0.39350389109551,0.918,0.943,0.0117090772963541,REEP3
5.39350110648619e-07,0.843575588791961,0.959,0.927,0.0125253276195929,CDKN1C
6.17382758009416e-07,-0.279306241231826,1,1,0.0143374797892527,SCGN
6.59292696034201e-07,-0.498399978024949,0.967,0.979,0.0153107542800022,CBX5
8.34109980564339e-07,0.292638460945215,0.566,0.292,0.0193705360786457,CDH2
9.26493739886645e-07,0.344070728480463,0.992,0.979,0.0215159641213876,NUCB2
1.87592376195327e-06,-0.281334760453029,1,1,0.0435645775238407,GAPDH
1.89965209428108e-06,-0.275755885025749,0.951,1,0.0441156205854895,OAZ1
2.73425782027947e-06,0.393573065436796,1,0.99,0.0634976693603502,PARM1
2.78081047425778e-06,0.48340212290325,0.967,0.932,0.0645787616436883,PCSK2
3.00167572760669e-06,0.435607213629086,1,0.995,0.0697079154222102,PAM
3.72600960810212e-06,-0.378953966771381,0.951,0.99,0.0865291211289556,IGF1R
3.77232672722134e-06,-0.328050807732857,0.369,0.635,0.0876047435862612,HS6ST3
4.2585642998068e-06,-0.409100434233341,0.426,0.698,0.0988966387344132,GRAMD3
4.58061102271072e-06,0.508607429828502,0.598,0.385,0.106375529780411,CPNE8
4.8283655221959e-06,0.287477083429273,0.344,0.13,0.112129132521955,FMNL2
5.00472854397292e-06,0.396688480426665,0.631,0.479,0.116224810976683,TFF3
5.4086542143989e-06,0.449551855348365,1,1,0.125605176820986,CHGB
5.58931029328913e-06,-0.372755641336076,0.811,0.896,0.129800552941054,STX1A
5.97735179392416e-06,-0.371133193890363,0.336,0.594,0.138812040710301,CHL1
6.21861882140991e-06,-0.365946045757286,0.836,0.911,0.144414984889602,CD24
6.60446876700103e-06,-0.645878075383629,0.311,0.547,0.153375578176065,GLUL
6.82145999404298e-06,-0.467148116279978,0.975,0.995,0.15841476544166,ACLY
6.86708963899395e-06,-0.276613959343468,0.32,0.578,0.159474422686357,C6orf211
6.95289423319035e-06,-0.61895261130061,0.205,0.438,0.161467062777379,UNC5D
7.4103477104075e-06,-0.302322380455105,0.041,0.229,0.172090504878793,HHATL
7.57478614523546e-06,0.310588498148188,1,1,0.175909258650803,MAP1B
7.99247490231804e-06,0.325768553461329,1,1,0.185609244656532,SCG3
8.9084105428875e-06,0.816424308737542,0.32,0.115,0.206880018037476,SERPINA1
8.91828951064348e-06,-0.25549750723093,0.664,0.839,0.207109437305674,BZW1
1.05565800300952e-05,0.276968071719489,1,1,0.2451554580389,RPL13
1.20985460468907e-05,0.327136455902948,0.959,0.781,0.280964534846942,ARID2
1.22945225952196e-05,0.397645086610844,1,0.974,0.285515698228785,CHGA
1.313724342605e-05,-0.266571890543896,0.811,0.958,0.305086204083158,FKBP9
1.5057454846237e-05,0.33348814570681,0.984,0.938,0.349679273894162,PEMT
1.61943071736529e-05,-0.29453255328972,0.926,0.995,0.376080395493741,CCDC56
1.62752826425104e-05,-0.29262070537765,0.615,0.802,0.377960888807019,TMEM37
1.72716335619823e-05,0.36196169052177,0.68,0.411,0.401099146209916,CECR1
1.73645191424556e-05,-0.336855826808376,0.287,0.542,0.403256228045246,PCDH7
1.78132994271412e-05,0.421142002281174,1,0.995,0.413678252596501,MEG3
1.86325756714929e-05,-0.491657930541712,0.459,0.661,0.43270430481908,LOC100506548
2.02208641909504e-05,0.366261545897104,0.484,0.245,0.469589129106441,SMC4
2.9628233742784e-05,-0.4727425346253,0.393,0.594,0.688056472208672,PRUNE
3.45679608113532e-05,-0.259482054840007,0.107,0.302,0.802771753922055,ABCB1
4.02202684986965e-05,-0.318749405915774,0.91,0.958,0.93403529534523,EIF3I
4.21428088010034e-05,0.344355602974615,0.738,0.641,0.978682448785703,MNAT1
4.91588304297815e-05,-0.316743069456426,0.893,0.974,1,RAB11A
5.12953423604065e-05,-0.318766559621364,0.984,1,1,ACTG1
5.14708404534293e-05,-0.344050251423738,0.598,0.766,1,MADD
5.27081323558152e-05,-0.266847419177322,0.967,0.99,1,CYSTM1
5.39171400298036e-05,-0.387196900580211,0.672,0.849,1,RNF6
5.92174844069045e-05,-0.390999885775915,0.18,0.391,1,TM4SF4
7.34055072108283e-05,0.601046517432954,0.533,0.359,1,ITGB8
7.90338177804328e-05,0.385904713144749,0.861,0.75,1,MAN1A1
8.38198590855984e-05,-0.322491247194529,0.492,0.729,1,GPM6A
9.34679044028334e-05,-0.360566520818601,0.918,0.984,1,ATP6V1A
9.80626178487678e-05,0.298731485796604,1,1,1,CD59
0.000100813771787775,-0.326721254311487,0.115,0.297,1,GRB14
0.000104613058547645,0.264076277089882,0.533,0.344,1,CCDC88C
0.000115287066867561,-0.451888904721629,0.361,0.578,1,VPS39
0.000129180773890325,-0.306166671254411,0.639,0.828,1,SMS
0.000130699988323734,0.265584132530722,0.844,0.74,1,ESF1
0.000157278754588157,-0.252409651381539,1,1,1,HSPA8
0.00016389955122979,0.264895637729074,0.959,0.885,1,CD47
0.000165332841100454,-0.495181215229407,0.926,0.958,1,TXLNA
0.000171546580372051,-0.258117561983308,1,1,1,DDX5
0.000175020956009717,-0.399679285313817,0.631,0.776,1,CLDN12
0.000176866647641789,-0.269022540388611,1,0.995,1,TUBA1B
0.000182198346261892,-0.257623673818922,0.828,0.958,1,PLP2
0.000205165131461845,0.412881924288357,0.861,0.786,1,BMP5
0.000219403606428232,-0.41209533575856,0.033,0.172,1,IGFBP3
0.000244886280416093,-0.269971033841042,0.828,0.948,1,MAPRE1
