name,gene,gene_name,variable,PSI,FDR
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c5_PSI,0.207119741100324,0.000169589133296781
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c5_PSI,0.247916666666667,0.800390325935268
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c5_PSI,0.428571428571429,0.0634957332142893
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c5_PSI,0.280356007628735,0.0338798182048682
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c5_PSI,0.0935779816513762,0.000198602763664561
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c6_PSI,0.154246100519931,7.50489683152424e-06
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c6_PSI,0.320809248554913,0.0814117694692393
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c6_PSI,0.0467065868263473,1.64356362571293e-50
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c6_PSI,0.583333333333333,5.80179792976535e-05
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c6_PSI,0.196428571428571,1.9267920283171e-10
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c6_PSI,0.383529411764706,0.900041180582123
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c6_PSI,0.072,2.35426775665432e-10
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c6_PSI,0.228571428571429,0.115136836924962
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c6_PSI,0.452830188679245,0.960433071007923
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c6_PSI,0.158620689655172,0.0455747110249172
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c6_PSI,0.627272727272727,4.51385047101632e-24
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c6_PSI,0.429362880886427,5.19200133886233e-49
